chromosome,canonical_record,canonical_archive,retrieval_url,local_filename,byte_size,sha256
1,https://zenodo.org/records/10515792,https://zenodo.org/records/10515792/files/1000G_Phase3_baselineLD_v2.2_ldscores.tgz?download=1,https://huggingface.co/datasets/songlab/ldsc/resolve/main/baselineLD_v2.2/baselineLD.1.annot.gz?download=true,baselineLD.1.annot.gz,32438264,922ad94c990705c8706b484ccb2aedc32ba141731418ee894652adac7f0e1627
2,https://zenodo.org/records/10515792,https://zenodo.org/records/10515792/files/1000G_Phase3_baselineLD_v2.2_ldscores.tgz?download=1,https://huggingface.co/datasets/songlab/ldsc/resolve/main/baselineLD_v2.2/baselineLD.2.annot.gz?download=true,baselineLD.2.annot.gz,34726691,c65583531b9a7ac4d1e9eaf8a1ff44c273ef546c3fc1da4b9604eee955473181
3,https://zenodo.org/records/10515792,https://zenodo.org/records/10515792/files/1000G_Phase3_baselineLD_v2.2_ldscores.tgz?download=1,https://huggingface.co/datasets/songlab/ldsc/resolve/main/baselineLD_v2.2/baselineLD.3.annot.gz?download=true,baselineLD.3.annot.gz,29102670,0c823cdfca9179b7ec828e125d0de43802f716d0b44010245905f4f0c9c17b85
4,https://zenodo.org/records/10515792,https://zenodo.org/records/10515792/files/1000G_Phase3_baselineLD_v2.2_ldscores.tgz?download=1,https://huggingface.co/datasets/songlab/ldsc/resolve/main/baselineLD_v2.2/baselineLD.4.annot.gz?download=true,baselineLD.4.annot.gz,29240611,f61580c298bf824cf55102a5a1fdde29711e8705d7e0812d220023bf319a06a4
5,https://zenodo.org/records/10515792,https://zenodo.org/records/10515792/files/1000G_Phase3_baselineLD_v2.2_ldscores.tgz?download=1,https://huggingface.co/datasets/songlab/ldsc/resolve/main/baselineLD_v2.2/baselineLD.5.annot.gz?download=true,baselineLD.5.annot.gz,25962954,b5e19ebca0e2970f53d27a67b7b3b5c6f446e01f8e1eb65209302f899a17bb19
6,https://zenodo.org/records/10515792,https://zenodo.org/records/10515792/files/1000G_Phase3_baselineLD_v2.2_ldscores.tgz?download=1,https://huggingface.co/datasets/songlab/ldsc/resolve/main/baselineLD_v2.2/baselineLD.6.annot.gz?download=true,baselineLD.6.annot.gz,27190952,4c6c31165de16aecf438ba1fd60df3d3c09f247867ab8ff8bef87ffbaa69e442
7,https://zenodo.org/records/10515792,https://zenodo.org/records/10515792/files/1000G_Phase3_baselineLD_v2.2_ldscores.tgz?download=1,https://huggingface.co/datasets/songlab/ldsc/resolve/main/baselineLD_v2.2/baselineLD.7.annot.gz?download=true,baselineLD.7.annot.gz,24418971,ff5618f4f59508dd09dd53d27db1f8d4ef572e14e4c8926eab7fdd17dd5df520
8,https://zenodo.org/records/10515792,https://zenodo.org/records/10515792/files/1000G_Phase3_baselineLD_v2.2_ldscores.tgz?download=1,https://huggingface.co/datasets/songlab/ldsc/resolve/main/baselineLD_v2.2/baselineLD.8.annot.gz?download=true,baselineLD.8.annot.gz,22562967,7f09cb570597d6338eca21c47d891e1e989aa883d191b6bc468f5f9b2941c5ee
9,https://zenodo.org/records/10515792,https://zenodo.org/records/10515792/files/1000G_Phase3_baselineLD_v2.2_ldscores.tgz?download=1,https://huggingface.co/datasets/songlab/ldsc/resolve/main/baselineLD_v2.2/baselineLD.9.annot.gz?download=true,baselineLD.9.annot.gz,18165311,a738426e9a7dc0a421b61e335cc192a8ffb963408eb58fe1159600e8363ca116
10,https://zenodo.org/records/10515792,https://zenodo.org/records/10515792/files/1000G_Phase3_baselineLD_v2.2_ldscores.tgz?download=1,https://huggingface.co/datasets/songlab/ldsc/resolve/main/baselineLD_v2.2/baselineLD.10.annot.gz?download=true,baselineLD.10.annot.gz,21296916,27b2c31f84871ca6b6ae3f3afdf39e666424ec10c6cde8f873d443816862a6c6
11,https://zenodo.org/records/10515792,https://zenodo.org/records/10515792/files/1000G_Phase3_baselineLD_v2.2_ldscores.tgz?download=1,https://huggingface.co/datasets/songlab/ldsc/resolve/main/baselineLD_v2.2/baselineLD.11.annot.gz?download=true,baselineLD.11.annot.gz,20520099,8b550ce6d34b465d77923dbaa322fc5c6d2383e5fb758614076fba0421e5b16c
12,https://zenodo.org/records/10515792,https://zenodo.org/records/10515792/files/1000G_Phase3_baselineLD_v2.2_ldscores.tgz?download=1,https://huggingface.co/datasets/songlab/ldsc/resolve/main/baselineLD_v2.2/baselineLD.12.annot.gz?download=true,baselineLD.12.annot.gz,20045861,facc84cff343d0c4206ddd24628065093d9785cff68794a07973c1521324cde3
13,https://zenodo.org/records/10515792,https://zenodo.org/records/10515792/files/1000G_Phase3_baselineLD_v2.2_ldscores.tgz?download=1,https://huggingface.co/datasets/songlab/ldsc/resolve/main/baselineLD_v2.2/baselineLD.13.annot.gz?download=true,baselineLD.13.annot.gz,15139551,592f260f1d30d9f182a51eeeec18f9c723b175cd7a07762870595616b31712da
